station,n,zeros,longitude,latitude,observed_fraction,zero_fraction,eligible
133,89,0,-88.436,43.756,1.0,0.0,True
134,89,0,-88.812,43.001,1.0,0.0,True
135,89,0,-87.826,42.559,1.0,0.0,True
136,89,0,-87.518,44.453,1.0,0.0,True
137,89,0,-91.229,43.812,1.0,0.0,True
138,88,0,-87.673,44.08,0.9887640449438202,0.0,True
139,89,0,-87.883,43.074,1.0,0.0,True
140,89,0,-88.006,43.093,1.0,0.0,True
141,89,0,-87.965,42.982,1.0,0.0,True
142,89,0,-87.901,43.181,1.0,0.0,True
143,89,0,-87.878,42.896,1.0,0.0,True
144,89,0,-88.386,44.314,1.0,0.0,True
145,89,0,-87.941,43.321,1.0,0.0,True
146,89,0,-87.799,42.714,1.0,0.0,True
147,89,0,-89.062,42.508,1.0,0.0,True
148,89,0,-88.956,42.774,1.0,0.0,True
149,89,0,-87.74,43.669,1.0,0.0,True
150,52,0,-88.499,42.58,0.5842696629213483,0.0,True
151,89,0,-88.284,43.333,1.0,0.0,True
152,89,0,-88.232,43.004,1.0,0.0,True
153,80,0,-88.529,44.076,0.898876404494382,0.0,True
